Supplementary Table 5.  Raw measurements and metadata for F2s used in this study.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Sex,Grandmother Inbred Line,Corticosterone ng/mL,Litter.ID,Partuition.Number,Litter.Size,Cage.ID,Week.4.Weight,Week.5.Weight,Week.6.Weight,Week.7.Weight,Week.8.Weight,Week.9.Weight,Fecal.Boli.4wk,Humidity.4wk,Time.of.Day.4wk,Fecal.Boli.8wk,OF.8wk.Estrous,Humidity.8wk,Time.of.Day.8wk,Temperature.LD,Humidity.LD,Time.of.Day.LD,Fecal.Boli.LD.Total,Estrous.LD,Distance.Traveled.4wk,Time.in.Center.4wk.increased.radius,Distance.Traveled.8wk,Time.in.Center.8wk.increased.radius,Light.Chamber.Entrances.LD,Center.Crosses.LD,Time.in.Light.Chamber.LD,Time.Past.Center.LD
13839,Female,WSB,NA,1467,2,9,13,12.3,14.3,14.9,15.5,15.5,16.3,8,27,10.67,6,Female,24,5.4,70,36,5.15,5,Female,202.019279,298.7666667,208.3003777,428.2333333,211,93,635.9666667,263.9333333
13840,Female,WSB,NA,1467,2,9,13,11.9,12.9,13.6,13.9,14.5,15.2,5,27,11.32,12,Female,24,4.77,70,37,6,10,Female,195.5811395,331.6333333,160.0938004,385.4,300,89,600,232.0666667
13841,Male,WSB,NA,1467,2,9,14,14.1,17.1,16.4,16,NA,NA,8,26,5.53,NA,Male,NA,NA,NA,NA,NA,NA,Male,116.287471,328.6333333,NA,NA,NA,NA,NA,NA
13842,Male,WSB,NA,1467,2,9,14,16.8,19.5,19.8,19.7,NA,NA,9,27,4.9,NA,Male,NA,NA,NA,NA,NA,NA,Male,173.7516925,317.6333333,NA,NA,NA,NA,NA,NA
13845,Male,WSB,NA,1467,2,9,15,16.7,17.6,17.9,18.2,18,18.5,10,27,7.67,8,Male,25,10.17,70,37,8.63,7,Male,106.5997891,298,170.7669935,249.3333333,166,63,600.9666667,281.2333333
13846,Male,WSB,NA,1467,2,9,15,12.3,15.7,16.6,17.2,17.9,18.7,6,25,7.03,8,Male,25,9.53,70,37,7.83,9,Male,168.2805308,298.6,115.7687439,266.3666667,147,54,586.1333333,296.0333333
13871,Female,WSB,NA,1468,2,4,16,13.5,16.2,17,16.6,17.1,17.7,9,24,10.62,6,Female,24,4.97,70,32,3.5,5,Female,163.2170896,443.8,195.0869441,422.9666667,262,53,866.6333333,221.8
13872,Female,WSB,NA,1468,2,4,16,12.1,13.5,15.1,15.3,15.5,15.4,7,24,9.97,12,Female,24,4.35,70,32,4.33,14,Female,150.9787589,523.3666667,165.4609541,754.4333333,191,56,624.0333333,309.8666667
13876,Male,WSB,NA,1469,2,5,17,15.6,20.2,18,18.6,20.1,22.5,4,24,3.62,8,Male,24,9.72,68,26,5.58,6,Male,123.7643102,378.7333333,106.4385877,180.2666667,196,43,613.3333333,225.4333333
13877,Male,WSB,NA,1469,2,5,17,12.4,16.5,17.4,18.9,18.7,20.5,6,24,4.25,8,Male,23,10.35,70,26,6.38,3,Male,140.0134091,288.9,100.100276,275.5666667,166,48,705.7333333,337.3666667
13880,Male,WSB,NA,1466,2,8,18,11.5,15.1,14.3,NA,NA,NA,13,24,10.7,NA,Male,NA,NA,NA,NA,NA,NA,Male,138.2897652,332.6666667,NA,NA,NA,NA,NA,NA
13881,Male,WSB,NA,1466,2,8,18,11.8,14.9,15.9,NA,NA,NA,5,24,10.07,NA,Male,NA,NA,NA,NA,NA,NA,Male,118.7914483,551.2,NA,NA,NA,NA,NA,NA
13882,Male,WSB,NA,1466,2,8,19,9.6,12.1,13.7,NA,NA,NA,3,27,6.01,NA,Male,NA,NA,NA,NA,NA,NA,Male,136.0003807,465.8333333,NA,NA,NA,NA,NA,NA
13883,Male,WSB,NA,1466,2,8,20,14.3,17.9,17.2,NA,NA,NA,9,27,8.28,NA,Male,NA,NA,NA,NA,NA,NA,Male,155.4979196,665.1333333,NA,NA,NA,NA,NA,NA
13884,Male,WSB,NA,1466,2,8,19,13.5,17.4,18.4,NA,NA,NA,6,27,6.72,NA,Male,NA,NA,NA,NA,NA,NA,Male,108.2421015,403.0333333,NA,NA,NA,NA,NA,NA
13885,Male,WSB,NA,1466,2,8,20,10.7,13.9,15.5,NA,NA,NA,5,27,8.9,NA,Male,NA,NA,NA,NA,NA,NA,Male,154.5248483,531.5,NA,NA,NA,NA,NA,NA
13949,Female,WSB,NA,1472,2,9,21,12.6,14.6,15.7,18.5,18.4,18,3,23,4.15,7,Female,32,8.33,70,30,9.95,6,Female,130.3733275,490.8666667,145.8484561,397.1,195,53,584.8666667,279.9666667
13950,Female,WSB,NA,1472,2,9,21,13.4,15.1,15.1,16.4,16.1,16.4,10,23,3.52,6,Female,32,8.97,70,31,10.77,2,Female,143.7550891,550.1666667,219.8920208,667.1333333,301,73,755.6666667,300.1666667
13952,Male,WSB,NA,1472,2,9,22,9.8,11.6,12.7,14.1,14,14.7,6,23,5.25,5,Male,32,10.23,68,30,7.82,3,Male,169.1345458,295.1333333,143.6732904,276.9666667,183,51,500,222.7
13953,Male,WSB,NA,1472,2,9,22,14.8,18.6,18.6,20.7,20,20.5,9,23,5.88,13,Male,32,10.87,70,30,8.06,8,Male,129.5375451,383.6333333,115.5806643,328.9333333,311,59,663.8333333,294.2666667
13956,Female,WSB,NA,1471,2,10,23,10.2,12.3,14.9,15.9,15.6,15.6,3,23,8.13,4,Female,26,5.88,70,32,3.82,5,Female,197.9068903,340.8,190.3906428,450.6333333,371,73,704.4666667,236.2666667
13957,Female,WSB,NA,1471,2,10,23,10.6,12.7,14.7,16,15.3,16.3,10,23,8.73,7,Female,26,5.27,70,33,3,13,Female,156.0786009,499.2666667,197.8318891,266.0333333,228,85,790.4666667,354.5333333
13958,Female,WSB,NA,1471,2,10,24,10.9,12.9,13.2,13.9,13.7,13.7,9,23,10.4,7,Female,27,3.4,70,33,5.97,9,Female,172.2312476,486.1,163.7846007,547.1666667,335,62,657.9333333,306.6
13959,Female,WSB,NA,1471,2,10,24,10.6,11.6,12.9,13.6,13.1,14.2,8,23,9.77,10,Female,26,4.03,70,32,5.15,10,Female,157.1381127,403.6,149.3297223,289,202,64,754.2333333,364.6333333
13963,Male,WSB,NA,1471,2,10,25,11.8,14.6,16.7,17.3,17.9,18.3,6,23,9.82,6,Male,25,8.82,70,33,9.33,8,Male,168.4113619,366.5666667,122.1558202,430.9666667,169,48,700.3333333,342.7666667
13965,Male,WSB,NA,1471,2,10,25,12.6,16.2,16.7,16.2,16.1,16.4,7,23,10.45,7,Male,25,9.43,70,34,10.13,3,Male,153.3725277,220.5,222.4592245,332.5666667,238,72,627.6,284.3333333
14065,Male,Gough,NA,1483,1,7,26,11,15,15,16.1,16.7,17.4,7,23,9.57,6,Male,27,6.98,70,32,3.17,5,Male,100.898995,425.2333333,129.8252433,541.6,166,52,535.2333333,205.9333333
14066,Male,Gough,NA,1483,1,7,27,13,15.6,16.6,18.4,18.8,19.4,6,23,7.77,8,Male,25,9.48,72,31,9.37,11,Male,148.019962,506.7,180.5995183,459.8666667,202,58,663.8333333,255.0333333
14067,Male,Gough,NA,1483,1,7,26,11.7,15.2,16.7,17.6,18.4,18.7,5,23,10.18,7,Male,27,7.77,70,32,3.9,10,Male,159.9769778,485.1666667,138.3106042,504.5333333,202,33,715.4333333,230.1333333
14068,Male,Gough,NA,1483,1,7,27,11.3,13.1,15.2,16.3,16.5,17.2,7,23,8.4,9,Male,26,8.87,72,31,8.65,7,Male,157.5170505,486.7666667,190.7588929,437.2333333,259,70,611.7333333,224.5333333
14092,Female,Gough,723.33,1486,1,6,28,12.3,14.8,15.5,16.4,16.4,16.2,7,25,9.23,10,Female,28,3.88,70,28,10.77,10,Female,148.7871024,311.1,168.0618315,374.3666667,191,52,684.7333333,282.3666667
14093,Female,Gough,1000,1486,1,6,28,10.6,11.5,12.3,12.4,12.8,13.1,6,25,8.6,9,Female,28,3.25,70,29,10.02,4,Female,156.2516642,398.6,187.1819917,339.8333333,296,94,618.2666667,234.9
14118,Female,Gough,1000,1485,1,4,29,12,12.8,14.4,14.4,14.3,14.7,7,23,8.75,6,Female,33,7.97,72,25,8.98,1,Female,197.4946662,502.3666667,237.1291306,441.6333333,262,70,624.1,264.2
14119,Female,Gough,941.559,1485,1,4,29,11.3,12.7,14,14.8,14.2,14.3,6,23,9.37,8,Female,33,8.58,72,25,8.23,0,Female,267.5321393,520.1,303.3406332,551.6333333,302,106,516.5,190.9333333
14434,Female,WSB,NA,1468,3,8,30,9.9,11.9,12.1,13.5,15.5,16.6,8,23,3.85,0,Estrous,33,8.38,70,34,3.52,3,Estrous,177.7237087,348.9666667,221.480522,388.5666667,255,63,718.3666667,351.5333333
14435,Female,WSB,NA,1468,3,8,30,9.6,12,12.4,13.4,13.1,13.9,11,23,3.22,8,Female,33,7.73,70,34,2.75,6,Female,103.9363252,491.6333333,106.9248314,387.8333333,321,82,826.4333333,266.2666667
14438,Female,WSB,NA,1468,3,8,31,12.4,14.5,15.3,15,14.9,15.5,4,22,10.18,7,Female,33,4.85,72,32,10.32,1,Female,142.6387563,320.2333333,201.2460134,656.4,267,69,678.3333333,197.4333333
14439,Female,WSB,NA,1468,3,8,31,11.5,13.6,14.5,15.1,15.3,16.1,10,22,9.57,9,Female,33,5.48,72,32,11.07,0,Female,84.57800802,405.7,131.9738782,486.3666667,163,31,538.3,170.6
14445,Female,WSB,NA,1467,3,10,32,11.7,13.7,14.2,14.4,14.5,15.1,9,23,8.55,8,Female,35,5.27,72,27,8.93,8,Female,119.4070302,326,164.8465878,593.5666667,288,71,800.0333333,316.2
14446,Female,WSB,NA,1467,3,10,33,10.3,11.9,11.1,11,11.5,11.6,3,23,10.27,7,Female,35,9.78,70,28,4.8,6,Female,225.9054264,483.8333333,249.9233671,362.5,302,96,727.6333333,341.6
14448,Female,WSB,NA,1467,3,10,33,10.6,11.8,12.4,12.8,12.1,13.2,3,23,10.05,3,Female,35,10.42,70,27,5.53,0,Female,227.3919415,417.2666667,254.5481292,472.5333333,281,99,600.4,297.0333333
14449,Female,WSB,NA,1467,3,10,32,11.7,14.8,15.5,15.9,16.5,17.6,11,23,9.18,5,Female,35,4.65,70,27,8.2,0,Female,164.3085001,526.8,468.5100903,257.5333333,382,136,585.3,216.1333333
14450,Female,WSB,NA,1467,3,10,34,10.2,12.6,13.5,12.9,13,13.4,13,26,9.27,10,Female,32,4.07,70,31,4.95,11,Female,170.3347127,360.5333333,181.9164247,175.5666667,279,45,557.1333333,210.6333333
14451,Female,WSB,NA,1467,3,10,34,11.7,13.8,15.9,16.2,16.1,17.3,5,26,8.67,4,Female,32,3.42,72,31,5.68,6,Female,165.195693,311.6333333,281.1527717,361.6,244,42,656.8666667,308.3666667
14478,Male,WSB,NA,1469,3,7,35,12.8,16.6,17,17.1,17.5,18.6,5,25,6.47,9,Male,30,2.92,70,42,3.18,7,Male,186.4694889,415.5,154.7077461,292.6333333,261,71,752.1,328.3666667
14479,Male,WSB,NA,1469,3,7,35,13.9,18.2,18.3,18.6,18.6,19.4,7,25,5.83,6,Male,29,3.57,70,43,3.92,8,Male,138.5847836,227.3333333,121.1842628,143.7333333,293,45,661.6333333,321.5666667
14489,Male,WSB,NA,1466,3,9,36,11.9,13.9,14.5,15.2,15.4,15.7,5,23,4.58,7,Male,31,3.2,70,27,8.37,5,Male,209.2369936,437.5333333,200.5145626,335,288,85,744.9333333,351.2
14490,Male,WSB,NA,1466,3,9,36,12.7,16.1,15.4,15.3,15.1,15.6,8,23,5.18,14,Male,32,2.57,70,26,9.08,9,Male,127.0916246,393.7333333,192.6818285,379.3666667,273,72,734.7666667,233.6333333
14491,Male,WSB,NA,1466,3,9,37,13.4,16.3,16.5,15.9,16.5,NA,8,24,3.5,NA,Male,NA,NA,NA,NA,NA,NA,Male,144.230743,544.8666667,NA,NA,NA,NA,NA,NA
14492,Male,WSB,NA,1466,3,9,37,12.8,17.1,18.6,19.2,19.5,NA,8,24,2.85,NA,Male,NA,NA,NA,NA,NA,NA,Male,212.8248673,592.4666667,NA,NA,NA,NA,NA,NA
